isfocus,focus,word,normalized_words,index,POS,-1POS,-2POS,+1POS,+2POS,prediction
0,want,to,to,2,9,11,34,16,5,0
0,want,exploit,exploit,3,16,9,11,5,41,0
0,want,the,the,4,5,16,9,41,40,0
0,want,apoptotic,apoptotic,5,40,5,16,40,40,0
0,want,threshold,threshold,6,23,40,40,16,32,0
0,want,of,of,7,16,23,40,32,24,0
0,want,selumetinib,selumetinib,8,32,16,23,24,9,0
0,want,",",",",9,24,32,16,9,16,0
0,want,we,we,10,9,24,32,16,11,0
1,want,wanted,want,11,16,9,24,11,9,0
0,want,to,to,12,11,16,9,9,16,0
0,want,study,study,13,9,11,16,16,5,0
0,want,the,the,14,16,9,11,5,40,0
0,want,effects,effect,15,5,16,9,40,40,0
0,want,of,of,16,22,40,40,32,9,0
0,want,combining,combine,17,32,22,40,9,16,0
0,want,it,it,18,9,32,22,16,11,0
0,want,with,with,19,16,9,32,11,9,0
0,want,agents,agent,20,11,16,9,9,16,0
0,want,known,know,21,9,11,16,16,16,0
0,want,to,to,22,16,9,11,16,33,0
0,want,induce,induce,23,16,16,9,33,9,0
0,want,the,the,24,33,16,16,9,16,0
0,want,apoptotic,apoptotic,25,9,33,16,16,5,0
0,want,cascade,cascade,26,16,9,33,5,40,0
0,want,to,to,27,5,16,9,40,40,0
0,want,drive,drive,28,7,40,40,11,9,0
0,want,tumour,tumour,29,11,7,40,9,12,0
0,want,growth,growth,30,9,11,7,12,6,0
0,want,inhibition,inhibition,31,12,9,11,6,19,0
0,want,and/or,and/or,32,6,12,9,19,32,0
0,want,cell,cell,33,19,6,12,32,24,0
0,want,death,death,34,32,19,6,24,12,0
0,want,.,.,35,24,32,19,12,29,0
0,and,The,the,0,12,24,32,29,31,0
0,and,effects,effect,1,29,12,24,31,22,0
0,and,of,of,2,31,29,12,22,4,0
0,and,selumetinib,selumetinib,3,22,31,29,4,22,0
0,and,in,in,4,4,22,31,22,32,0
0,and,combination,combination,5,22,4,22,32,9,0
0,and,with,with,6,32,22,4,9,16,0
0,and,a,a,7,9,32,22,16,6,0
0,and,number,number,8,16,9,32,6,22,0
0,and,of,of,9,6,16,9,22,32,0
0,and,key,key,10,22,6,16,32,9,0
0,and,standard,standard,11,32,22,6,9,16,0
0,and,of,of,12,9,32,22,16,11,0
0,and,care,care,13,16,9,32,11,9,0
0,and,agents,agent,14,11,16,9,9,16,0
0,and,were,be,15,9,11,16,16,16,0
0,and,tested,test,16,16,9,11,16,4,0
0,and,pre-clinically,pre-clinically,17,16,16,9,4,11,0
0,and,in,in,18,4,16,16,11,11,0
0,and,human,human,19,11,4,16,11,9,0
0,and,tumour,tumour,20,11,11,4,9,12,0
0,and,xenograft,xenograft,21,9,11,11,12,6,0
0,and,models,model,22,12,9,11,6,19,0
1,and,and,and,23,6,12,9,19,15,0
0,and,resulted,result,24,19,6,12,15,31,0
0,and,in,in,25,15,19,6,31,22,0
0,and,enhanced,enhance,26,31,15,19,22,24,0
0,and,anti-tumour,anti-tumour,27,22,31,15,24,5,0
0,and,activity,activity,28,24,22,31,5,40,0
0,and,.,.,29,5,24,22,40,40,0
0,result,A,a,0,22,40,40,24,35,0
0,result,number,number,1,24,22,40,35,29,0
0,result,of,of,2,35,24,22,29,31,0
0,result,compounds,compound,3,29,35,24,31,19,0
0,result,including,include,4,31,29,35,19,34,0
0,result,the,the,5,19,31,29,34,5,0
0,result,DNA-alkylating,dna-alkylating,6,34,19,31,5,40,0
0,result,agent,agent,7,5,34,19,40,40,0
0,result,TMZ,tmz,8,23,40,40,33,17,0
0,result,and,and,9,33,23,40,17,8,0
0,result,the,the,10,17,33,23,8,32,0
0,result,anti-mitotic,anti-mitotic,11,8,17,33,32,11,0
0,result,drug,drug,12,32,8,17,11,9,0
0,result,docetaxel,docetaxel,13,11,32,8,9,6,0
1,result,resulted,result,14,9,11,32,6,9,0
0,result,in,in,15,6,9,11,9,12,0
0,result,a,a,16,9,6,9,12,6,0
0,result,greatly,greatly,17,12,9,6,6,19,0
0,result,enhanced,enhance,18,6,12,9,19,21,0
0,result,tumour,tumour,19,19,6,12,21,16,0
0,result,growth,growth,20,21,19,6,16,4,0
0,result,inhibition,inhibition,21,16,21,19,4,9,0
0,result,compared,compare,22,4,16,21,9,16,0
0,result,with,with,23,9,4,16,16,4,0
0,result,monotherapies,monotherapies,24,16,9,4,4,32,0
0,result,(,(,25,4,16,9,32,29,0
0,result,<,<,26,32,4,16,29,31,0
0,result,xref,xref,27,29,32,4,31,22,0
0,result,ref-type=,ref-type=,28,31,29,32,22,29,0
0,result,'','',29,22,31,29,29,31,0
0,result,table,table,30,29,22,31,31,27,0
0,result,'','',31,31,29,22,27,23,0
0,result,rid=,rid=,32,27,31,29,23,19,0
0,result,'','',33,23,27,31,19,11,0
0,result,tbl1,tbl1,34,19,23,27,11,16,0
0,result,'','',35,11,19,23,16,19,0
0,result,>,>,36,16,11,19,19,4,0
0,result,Table,table,37,19,16,11,4,11,0
0,result,1,1,38,4,19,16,11,11,0
0,result,<,<,39,11,4,19,11,9,0
0,result,/xref,/xref,40,11,11,4,9,16,0
0,result,>,>,41,9,11,11,16,7,0
0,result,and,and,42,16,9,11,7,9,0
0,result,<,<,43,7,16,9,9,12,0
0,result,xref,xref,44,9,7,16,12,4,0
0,result,ref-type=,ref-type=,45,12,9,7,4,7,0
0,result,'','',46,4,12,9,7,31,0
0,result,supplementary-material,supplementary-material,47,7,4,12,31,22,0
0,result,'','',48,31,7,4,22,24,0
0,result,rid=,rid=,49,22,31,7,24,29,0
0,result,'','',50,24,22,31,29,31,0
0,result,sup1,sup1,51,29,24,22,31,4,0
0,result,'','',52,31,29,24,4,16,0
0,result,>,>,53,4,31,29,16,4,0
0,result,supplementary,supplementary,54,16,4,31,4,12,0
0,result,Table,table,55,4,16,4,12,7,0
0,result,1,1,56,12,4,16,7,16,0
0,result,<,<,57,7,12,4,16,5,0
0,result,/xref,/xref,58,16,7,12,5,40,0
0,result,>,>,59,5,16,7,40,40,0
0,result,),),60,9,40,40,36,39,0
0,result,.,.,61,36,9,40,39,4,0
0,contrast,However,however,0,39,36,9,4,11,0
0,contrast,",",",",1,4,39,36,11,9,0
0,contrast,combining,combine,2,11,4,39,9,16,0
0,contrast,selumetinib,selumetinib,3,9,11,4,16,11,0
0,contrast,with,with,4,16,9,11,11,8,0
0,contrast,gemcitabine,gemcitabine,5,11,16,9,8,4,0
0,contrast,did,do,6,8,11,16,4,22,0
0,contrast,not,not,7,4,8,11,22,32,0
0,contrast,enhance,enhance,8,22,4,8,32,27,0
0,contrast,the,the,9,32,22,4,27,38,0
0,contrast,anti-tumour,anti-tumour,10,27,32,22,38,15,0
0,contrast,activity,activity,11,38,27,32,15,31,0
0,contrast,of,of,12,15,38,27,31,34,0
0,contrast,the,the,13,31,15,38,34,9,0
0,contrast,individual,individual,14,34,31,15,9,12,0
0,contrast,agents,agent,15,9,34,31,12,16,0
0,contrast,(,(,16,12,9,34,16,11,0
0,contrast,<,<,17,16,12,9,11,9,0
0,contrast,xref,xref,18,11,16,12,9,16,0
0,contrast,ref-type=,ref-type=,19,9,11,16,16,5,0
0,contrast,'','',20,16,9,11,5,40,0
0,contrast,supplementary-material,supplementary-material,21,5,16,9,40,40,0
0,contrast,'','',22,22,40,40,32,34,0
0,contrast,rid=,rid=,23,32,22,40,34,34,0
0,contrast,'','',24,34,32,22,34,11,0
0,contrast,sup1,sup1,25,34,34,32,11,9,0
0,contrast,'','',26,11,34,34,9,16,0
0,contrast,>,>,27,9,11,34,16,11,0
0,contrast,supplementary,supplementary,28,16,9,11,11,23,0
0,contrast,Table,table,29,11,16,9,23,33,0
0,contrast,1,1,30,23,11,16,33,17,0
0,contrast,<,<,31,33,23,11,17,8,0
0,contrast,/xref,/xref,32,17,33,23,8,7,0
0,contrast,>,>,33,8,17,33,7,23,0
0,contrast,),),34,7,8,17,23,33,0
0,contrast,.,.,35,23,7,8,33,17,0
0,suggest,The,the,0,33,23,7,17,8,0
0,suggest,data,data,1,17,33,23,8,5,0
0,suggest,presented,present,2,8,17,33,5,40,0
0,suggest,here,here,3,5,8,17,40,40,0
0,suggest,suggests,suggests,4,17,40,40,6,12,0
0,suggest,that,that,5,6,17,40,12,24,0
0,suggest,when,when,6,12,6,17,24,35,0
0,suggest,selumetinib,selumetinib,7,24,12,6,35,16,0
0,suggest,is,be,8,35,24,12,16,11,0
0,suggest,combined,combine,9,16,35,24,11,22,0
0,suggest,",",",",10,11,16,35,22,4,0
0,suggest,with,with,11,22,11,16,4,7,0
0,suggest,either,either,12,4,22,11,7,22,0
0,suggest,TMZ,tmz,13,7,4,22,22,36,0
0,suggest,or,or,14,22,7,4,36,34,0
0,suggest,docetaxel,docetaxel,15,36,22,7,34,11,0
0,suggest,",",",",16,34,36,22,11,19,0
0,suggest,the,the,17,11,34,36,19,29,0
0,suggest,resulting,result,18,19,11,34,29,31,0
0,suggest,anti-tumour,anti-tumour,19,29,19,11,31,24,0
0,suggest,phenotypes,phenotype,20,31,29,19,24,7,0
0,suggest,maybe,maybe,21,24,31,29,7,24,0
0,suggest,due,due,22,7,24,31,24,33,0
0,suggest,to,to,23,24,7,24,33,19,0
0,suggest,mechanistic,mechanistic,24,33,24,7,19,29,0
0,suggest,interactions,interaction,25,19,33,24,29,22,0
0,suggest,between,between,26,29,19,33,22,5,0
0,suggest,the,the,27,22,29,19,5,40,0
0,suggest,two,two,28,5,22,29,40,40,0
0,suggest,compounds,compound,29,24,40,40,24,22,0
0,suggest,.,.,30,24,24,40,22,35,0
0,enhance,Selumetinib,selumetinib,0,22,24,24,35,9,0
0,enhance,in,in,1,35,22,24,9,16,0
0,enhance,combination,combination,2,9,35,22,16,4,0
0,enhance,with,with,3,16,9,35,4,7,0
0,enhance,TMZ,tmz,4,4,16,9,7,32,0
0,enhance,enhances,enhances,5,7,4,16,32,29,0
0,enhance,DNA,dna,6,32,7,4,29,31,0
0,enhance,damage,damage,7,29,32,7,31,19,0
0,result,The,the,0,31,29,32,19,5,0
0,result,combination,combination,1,19,31,29,5,40,0
0,result,of,of,2,5,19,31,40,40,0
0,result,selumetinib,selumetinib,3,22,40,40,35,34,0
0,result,and,and,4,35,22,40,34,9,0
0,result,TMZ,tmz,5,34,35,22,9,12,0
0,result,in,in,6,9,34,35,12,11,0
0,result,the,the,7,12,9,34,11,9,0
0,result,SW-620,sw-620,8,11,12,9,9,19,0
0,result,human,human,9,9,11,12,19,11,0
0,result,tumour,tumour,10,19,9,11,11,9,0
0,result,xenograft,xenograft,11,11,19,9,9,16,0
0,result,model,model,12,9,11,19,16,6,0
1,result,resulted,result,13,16,9,11,6,7,0
0,result,in,in,14,6,16,9,7,22,0
0,result,a,a,15,7,6,16,22,36,0
0,result,significantly,significantly,16,22,7,6,36,12,0
0,result,enhanced,enhance,17,36,22,7,12,11,0
0,result,anti-tumour,anti-tumour,18,12,36,22,11,16,0
0,result,efficacy,efficacy,19,11,12,36,16,36,0
0,result,(,(,20,16,11,12,36,34,0
0,result,103.5,103.5,21,36,16,11,34,24,0
0,result,%,%,22,34,36,16,24,12,0
0,result,inhibition,inhibition,23,24,34,36,12,29,0
0,result,;,;,24,12,24,34,29,22,0
0,result,<,<,25,29,12,24,22,5,0
0,result,i,i,26,22,29,12,5,40,0
0,result,>,>,27,5,22,29,40,40,0
0,result,P,p,28,11,40,40,9,16,0
0,result,<,<,29,9,11,40,16,22,0
0,result,/i,/i,30,16,9,11,22,15,0
0,result,>,>,31,22,16,9,15,31,0
0,result,<,<,32,15,22,16,31,17,0
0,result,0.0005,0.0005,33,31,15,22,17,11,0
0,result,),),34,17,31,15,11,17,0
0,result,",",",",35,11,17,31,17,5,0
0,result,compared,compare,36,17,11,17,5,40,0
0,result,with,with,37,5,17,11,40,40,0
0,result,selumetinib,selumetinib,38,11,40,40,8,36,0
0,result,(,(,39,8,11,40,36,34,0
0,result,52,52,40,36,8,11,34,11,0
0,result,%,%,41,34,36,8,11,9,0
0,result,inhibition,inhibition,42,11,34,36,9,16,0
0,result,;,;,43,9,11,34,16,4,0
0,result,<,<,44,16,9,11,4,12,0
0,result,i,i,45,4,16,9,12,16,0
0,result,>,>,46,12,4,16,16,36,0
0,result,P,p,47,16,12,4,36,12,0
0,result,<,<,48,36,16,12,12,5,0
0,result,/i,/i,49,12,36,16,5,40,0
0,result,>,>,50,5,12,36,40,40,0
0,result,<,<,51,11,40,40,9,16,0
0,result,0.0005,0.0005,52,9,11,40,16,11,0
0,result,),),53,16,9,11,11,9,0
0,result,and,and,54,11,16,9,9,16,0
0,result,TMZ,tmz,55,9,11,16,16,22,0
0,result,(,(,56,16,9,11,22,35,0
0,result,88,88,57,22,16,9,35,32,0
0,result,%,%,58,35,22,16,32,9,0
0,result,inhibition,inhibition,59,32,35,22,9,12,0
0,result,;,;,60,9,32,35,12,12,0
0,result,<,<,61,12,9,32,12,19,0
0,result,i,i,62,12,12,9,19,11,0
0,result,>,>,63,19,12,12,11,9,0
0,result,P,p,64,11,19,12,9,12,0
0,result,<,<,65,9,11,19,12,12,0
0,result,/i,/i,66,12,9,11,12,19,0
0,result,>,>,67,12,12,9,19,38,0
0,result,<,<,68,19,12,12,38,35,0
0,result,0.0005,0.0005,69,38,19,12,35,34,0
0,result,),),70,35,38,19,34,34,0
0,result,alone,alone,71,34,35,38,34,11,0
0,result,(,(,72,34,34,35,11,19,0
0,result,<,<,73,11,34,34,19,11,0
0,result,xref,xref,74,19,11,34,11,16,0
0,result,ref-type=,ref-type=,75,11,19,11,16,5,0
0,result,'','',76,16,11,19,5,40,0
0,result,fig,fig,77,5,16,11,40,40,0
0,result,'','',78,22,40,40,35,34,0
0,result,rid=,rid=,79,35,22,40,34,9,0
0,result,'','',80,34,35,22,9,12,0
0,result,fig2,fig2,81,9,34,35,12,16,0
0,result,'','',82,12,9,34,16,11,0
0,result,>,>,83,16,12,9,11,12,0
0,result,Figure,figure,84,11,16,12,12,6,0
0,result,2A,2a,85,12,11,16,6,19,0
0,result,<,<,86,6,12,11,19,5,0
0,result,/xref,/xref,87,19,6,12,5,40,0
0,result,>,>,88,5,19,6,40,40,0
0,result,),),89,22,40,40,35,34,0
0,result,.,.,90,35,22,40,34,22,0
0,leave,At,at,0,34,35,22,22,24,0
0,leave,the,the,1,22,34,35,24,4,0
0,leave,end,end,2,24,22,34,4,24,0
0,leave,of,of,3,4,24,22,24,11,0
0,leave,the,the,4,24,4,24,11,16,0
0,leave,dosing,dose,5,11,24,4,16,5,0
0,leave,period,period,6,16,11,24,5,40,0
0,leave,",",",",7,5,16,11,40,40,0
0,leave,the,the,8,7,40,40,9,36,0
0,leave,monotherapy,monotherapy,9,9,7,40,36,24,0
0,leave,and,and,10,36,9,7,24,24,0
0,leave,combination,combination,11,24,36,9,24,34,0
0,leave,treatment,treatment,12,24,24,36,34,23,0
0,leave,groups,group,13,34,24,24,23,16,0
0,leave,were,be,14,23,34,24,16,11,0
0,leave,left,left,15,16,23,34,11,22,0
0,leave,to,to,16,11,16,23,22,5,0
0,leave,observe,observe,17,22,11,16,5,40,0
0,leave,the,the,18,5,22,11,40,40,0
0,leave,growth,growth,19,39,40,40,22,32,0
0,leave,rate,rate,20,22,39,40,32,8,0
0,leave,following,follow,21,32,22,39,8,11,0
0,leave,the,the,22,8,32,22,11,22,0
0,leave,cessation,cessation,23,11,8,32,22,38,0
0,leave,of,of,24,22,11,8,38,32,0
0,leave,dosing,dose,25,38,22,11,32,29,0
0,leave,(,(,26,32,38,22,29,22,0
0,leave,animals,animal,27,29,32,38,22,11,0
0,leave,in,in,28,22,29,32,11,9,0
0,leave,the,the,29,11,22,29,9,12,0
0,leave,control,control,30,9,11,22,12,6,0
0,leave,group,group,31,12,9,11,6,34,0
0,leave,had,have,32,6,12,9,34,4,0
0,leave,to,to,33,34,6,12,4,22,0
0,leave,be,be,34,4,34,6,22,32,0
0,leave,killed,kill,35,22,4,34,32,9,0
0,leave,due,due,36,32,22,4,9,16,0
0,leave,to,to,37,9,32,22,16,11,0
0,leave,tumour,tumour,38,16,9,32,11,33,0
0,leave,size,size,39,11,16,9,33,22,0
0,leave,),),40,33,11,16,22,23,0
0,leave,.,.,41,22,33,11,23,33,0
0,progress,In,in,0,23,22,33,33,17,0
0,progress,the,the,1,33,23,22,17,8,0
0,progress,selumetinib,selumetinib,2,17,33,23,8,4,0
0,progress,and,and,3,8,17,33,4,37,0
0,progress,TMZ,tmz,4,4,8,17,37,22,0
0,progress,monotherapy-treated,monotherapy-treated,5,37,4,8,22,35,0
0,progress,groups,group,6,22,37,4,35,24,0
0,progress,",",",",7,35,22,37,24,34,0
0,progress,tumour,tumour,8,24,35,22,34,5,0
0,progress,growth,growth,9,34,24,35,5,40,0
1,progress,progressed,progress,10,5,34,24,40,40,0
0,progress,rapidly,rapidly,11,22,40,40,15,31,0
0,progress,once,once,12,15,22,40,31,29,0
0,progress,compound,compound,13,31,15,22,29,31,0
0,progress,treatment,treatment,14,29,31,15,31,27,0
0,progress,had,have,15,31,29,31,27,4,0
0,progress,been,be,16,27,31,29,4,24,0
0,progress,removed,remove,17,4,27,31,24,4,0
0,progress,.,.,18,24,4,27,4,11,0
0,contrast,In,in,0,4,24,4,11,9,0
1,contrast,contrast,contrast,1,11,4,24,9,32,0
0,contrast,",",",",2,9,11,4,32,9,0
0,contrast,the,the,3,32,9,11,9,16,0
0,contrast,start,start,4,9,32,9,16,11,0
0,contrast,of,of,5,16,9,32,11,12,0
0,contrast,tumour,tumour,6,11,16,9,12,16,0
0,contrast,growth,growth,7,12,11,16,16,5,0
0,contrast,in,in,8,16,12,11,5,40,0
0,contrast,the,the,9,5,16,12,40,40,0
0,contrast,combination,combination,10,7,40,40,4,38,0
0,contrast,group,group,11,4,7,40,38,22,0
0,contrast,was,be,12,38,4,7,22,32,0
0,contrast,delayed,delayed,13,22,38,4,32,4,0
0,contrast,for,for,14,32,22,38,4,22,0
0,contrast,approximately,approximately,15,4,32,22,22,4,0
0,contrast,24,24,16,22,4,32,4,7,0
0,contrast,days,day,17,4,22,4,7,22,0
0,contrast,from,from,18,7,4,22,22,4,0
0,contrast,the,the,19,22,7,4,4,15,0
0,contrast,start,start,20,4,22,7,15,24,0
0,contrast,of,of,21,15,4,22,24,31,0
0,contrast,the,the,22,24,15,4,31,6,0
0,contrast,experiment,experiment,23,31,24,15,6,41,0
0,contrast,compared,compare,24,6,31,24,41,9,0
0,contrast,with,with,25,40,6,31,9,36,0
0,contrast,15,15,26,9,41,6,36,9,0
0,contrast,days,day,27,36,9,41,9,16,0
0,contrast,in,in,28,9,36,9,16,5,0
0,contrast,the,the,29,16,9,36,5,41,0
0,contrast,TMZ,tmz,30,5,16,9,41,40,0
0,contrast,alone,alone,31,40,5,16,40,40,0
0,contrast,group,group,32,24,40,40,22,15,0
0,contrast,.,.,33,22,24,40,15,24,0
0,use,In,in,0,15,22,24,24,31,0
0,use,order,order,1,24,15,22,31,29,0
0,use,to,to,2,31,24,15,29,9,0
0,use,investigate,investigate,3,29,31,24,9,16,0
0,use,potential,potential,4,9,29,31,16,11,0
0,use,mechanisms,mechanism,5,16,9,29,11,16,0
0,use,",",",",6,11,16,9,16,19,0
0,use,to,to,7,16,11,16,19,4,0
0,use,explain,explain,8,19,16,11,4,7,0
0,use,the,the,9,4,19,16,7,12,0
0,use,enhanced,enhance,10,7,4,19,12,19,0
0,use,combination,combination,11,12,7,4,19,4,0
0,use,effect,effect,12,19,12,7,4,7,0
0,use,with,with,13,4,19,12,7,19,0
0,use,TMZ,tmz,14,7,4,19,19,5,0
0,use,",",",",15,19,7,4,5,40,0
0,use,we,we,16,5,19,7,40,40,0
1,use,used,use,17,22,40,40,15,31,0
0,use,the,the,18,15,22,40,31,22,0
0,use,growth,growth,19,31,15,22,22,27,0
