word,normalized_words,focus,index,POS,-1POS,-2POS,+1POS,+2POS
the,the,0,13,DT,IN,IN,NN,VBD
question,question,0,14,NN,DT,IN,VBD,VBN
had,have,0,15,VBD,NN,DT,VBN,VBN
been,be,0,16,VBN,VBD,NN,VBN,IN
born,born,0,17,VBN,VBN,VBD,IN,RB
of,of,0,18,IN,VBN,VBN,RB,CC
long,long,0,19,RB,IN,VBN,CC,JJ
and,and,0,20,CC,RB,IN,JJ,NN
silent,silent,0,21,JJ,CC,RB,NN,IN
meditation,meditation,0,22,NN,JJ,CC,IN,PRP$
on,on,0,23,IN,NN,JJ,PRP$,NN
his,his,0,24,PRP$,IN,NN,NN,","
problem,problem,0,25,NN,PRP$,IN,",",PRP
",",",",0,26,",",NN,PRP$,PRP,VBD
he,he,0,27,PRP,",",NN,VBD,:
demanded,demand,1,28,VBD,PRP,",",:,``
:,:,0,29,:,VBD,PRP,``,DT
``,``,0,30,``,:,VBD,DT,NN
A,a,0,31,DT,``,:,NN,:
sheep,sheep,0,32,NN,DT,``,:,IN
--,--,0,33,:,NN,DT,IN,PRP
if,if,0,34,IN,:,NN,PRP,VBZ
it,it,0,35,PRP,IN,:,VBZ,JJ
eats,eats,0,36,VBZ,PRP,IN,JJ,NNS
little,little,0,37,JJ,VBZ,PRP,NNS,","
bushes,bush,0,38,NNS,JJ,VBZ,",",VBZ
",",",",0,39,",",NNS,JJ,VBZ,PRP
does,do,0,40,VBZ,",",NNS,PRP,VB
it,it,0,41,PRP,VBZ,",",VB,NNS
eat,eat,0,42,VB,PRP,VBZ,NNS,","
flowers,flower,0,43,NNS,VB,PRP,",",RB
",",",",0,44,",",NNS,VB,RB,.
too,too,0,45,RB,",",NNS,.,``
?,?,0,46,.,RB,",",``,N/A
``,``,0,47,``,.,RB,N/A,N/A
``,``,0,0,``,N/A,N/A,DT,NN
A,a,0,1,DT,``,N/A,NN,","
sheep,sheep,1,2,NN,DT,``,",",``
",",",",0,3,",",NN,DT,``,N/A
``,``,0,4,``,",",NN,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBD,","
answered,answer,1,1,VBD,PRP,N/A,",",``
",",",",0,2,",",VBD,PRP,``,VBZ
``,``,0,3,``,",",VBD,VBZ,NN
eats,eats,0,4,VBZ,``,",",NN,PRP
anything,anything,0,5,NN,VBZ,``,PRP,VBZ
it,it,0,6,PRP,NN,VBZ,VBZ,IN
finds,find,0,7,VBZ,PRP,NN,IN,PRP$
in,in,0,8,IN,VBZ,PRP,PRP$,NN
its,it,0,9,PRP$,IN,VBZ,NN,.
reach,reach,0,10,NN,PRP$,IN,.,``
.,.,0,11,.,NN,PRP$,``,N/A
``,``,0,12,``,.,NN,N/A,N/A
``,``,0,0,``,N/A,N/A,RB,NNS
Even,even,0,1,RB,``,N/A,NNS,WDT
flowers,flower,1,2,NNS,RB,``,WDT,VBP
that,that,0,3,WDT,NNS,RB,VBP,VBN
have,have,0,4,VBP,WDT,NNS,VBN,.
thorns,thorn,0,5,VBN,VBP,WDT,.,``
?,?,0,6,.,VBN,VBP,``,N/A
``,``,0,7,``,.,VBN,N/A,N/A
``,``,0,0,``,N/A,N/A,UH,","
Yes,yes,0,1,UH,``,N/A,",",RB
",",",",0,2,",",UH,``,RB,NNS
even,even,0,3,RB,",",UH,NNS,WDT
flowers,flower,1,4,NNS,RB,",",WDT,VBP
that,that,0,5,WDT,NNS,RB,VBP,NNS
have,have,0,6,VBP,WDT,NNS,NNS,.
thorns,thorn,0,7,NNS,VBP,WDT,.,``
.,.,0,8,.,NNS,VBP,``,N/A
``,``,0,9,``,.,NNS,N/A,N/A
``,``,0,0,``,N/A,N/A,RB,DT
Then,then,0,1,RB,``,N/A,DT,NNS
the,the,0,2,DT,RB,``,NNS,:
thorns,thorn,0,3,NNS,DT,RB,:,WP
--,--,0,4,:,NNS,DT,WP,NN
what,what,0,5,WP,:,NNS,NN,VBP
use,use,0,6,NN,WP,:,VBP,PRP
are,be,0,7,VBP,NN,WP,PRP,.
they,they,0,8,PRP,VBP,NN,.,``
?,?,0,9,.,PRP,VBP,``,N/A
``,``,0,10,``,.,PRP,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBD,RB
did,do,0,1,VBD,PRP,N/A,RB,VB
not,not,0,2,RB,VBD,PRP,VB,.
know,know,1,3,VB,RB,VBD,.,N/A
.,.,0,4,.,VB,RB,N/A,N/A
At,at,0,0,IN,N/A,N/A,DT,NN
that,that,0,1,DT,IN,N/A,NN,PRP
moment,moment,0,2,NN,DT,IN,PRP,VBD
I,i,0,3,PRP,NN,DT,VBD,RB
was,be,0,4,VBD,PRP,NN,RB,JJ
very,very,0,5,RB,VBD,PRP,JJ,VBG
busy,busy,0,6,JJ,RB,VBD,VBG,TO
trying,try,1,7,VBG,JJ,RB,TO,VB
to,to,0,8,TO,VBG,JJ,VB,DT
unscrew,unscrew,0,9,VB,TO,VBG,DT,NN
a,a,0,10,DT,VB,TO,NN,WDT
bolt,bolt,0,11,NN,DT,VB,WDT,VBD
that,that,0,12,WDT,NN,DT,VBD,VBN
had,have,0,13,VBD,WDT,NN,VBN,VBN
got,get,0,14,VBN,VBD,WDT,VBN,IN
stuck,stuck,0,15,VBN,VBN,VBD,IN,PRP$
in,in,0,16,IN,VBN,VBN,PRP$,NN
my,my,0,17,PRP$,IN,VBN,NN,.
engine,engine,0,18,NN,PRP$,IN,.,N/A
.,.,0,19,.,NN,PRP$,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBD,RB
was,be,0,1,VBD,PRP,N/A,RB,JJ
very,very,0,2,RB,VBD,PRP,JJ,VBN
much,much,0,3,JJ,RB,VBD,VBN,","
worried,worried,0,4,VBN,JJ,RB,",",IN
",",",",0,5,",",VBN,JJ,IN,PRP
for,for,0,6,IN,",",VBN,PRP,VBD
it,it,0,7,PRP,IN,",",VBD,VBG
was,be,0,8,VBD,PRP,IN,VBG,JJ
becoming,become,0,9,VBG,VBD,PRP,JJ,TO
clear,clear,0,10,JJ,VBG,VBD,TO,PRP
to,to,0,11,TO,JJ,VBG,PRP,IN
me,me,0,12,PRP,TO,JJ,IN,DT
that,that,0,13,IN,PRP,TO,DT,NN
the,the,0,14,DT,IN,PRP,NN,IN
breakdown,breakdown,0,15,NN,DT,IN,IN,PRP$
of,of,0,16,IN,NN,DT,PRP$,NN
my,my,0,17,PRP$,IN,NN,NN,VBD
plane,plane,0,18,NN,PRP$,IN,VBD,RB
was,be,0,19,VBD,NN,PRP$,RB,JJ
extremely,extremely,0,20,RB,VBD,NN,JJ,.
serious,serious,0,21,JJ,RB,VBD,.,N/A
.,.,0,22,.,JJ,RB,N/A,N/A
And,and,1,0,CC,N/A,N/A,PRP,VBD
I,i,0,1,PRP,CC,N/A,VBD,RB
had,have,0,2,VBD,PRP,CC,RB,JJ
so,so,0,3,RB,VBD,PRP,JJ,VBG
little,little,0,4,JJ,RB,VBD,VBG,:
drinking,drinking,0,5,VBG,JJ,RB,:,NN
-,-,0,6,:,VBG,JJ,NN,VBD
water,water,0,7,NN,:,VBG,VBD,IN
left,left,0,8,VBD,NN,:,IN,PRP
that,that,0,9,IN,VBD,NN,PRP,VBD
I,i,0,10,PRP,IN,VBD,VBD,TO
had,have,0,11,VBD,PRP,IN,TO,VB
to,to,0,12,TO,VBD,PRP,VB,IN
fear,fear,0,13,VB,TO,VBD,IN,DT
for,for,0,14,IN,VB,TO,DT,JJS
the,the,0,15,DT,IN,VB,JJS,.
worst,bad,0,16,JJS,DT,IN,.,N/A
.,.,0,17,.,JJS,DT,N/A,N/A
``,``,0,0,``,N/A,N/A,DT,NNS
The,the,0,1,DT,``,N/A,NNS,:
thorns,thorn,0,2,NNS,DT,``,:,:
-,-,0,3,:,NNS,DT,:,WP
-,-,0,4,:,:,NNS,WP,NN
what,what,0,5,WP,:,:,NN,VBP
use,use,1,6,NN,WP,:,VBP,PRP
are,be,0,7,VBP,NN,WP,PRP,.
they,they,0,8,PRP,VBP,NN,.,``
?,?,0,9,.,PRP,VBP,``,N/A
``,``,0,10,``,.,PRP,N/A,N/A
The,the,0,0,DT,N/A,N/A,JJ,NN
little,little,0,1,JJ,DT,N/A,NN,RB
prince,prince,0,2,NN,JJ,DT,RB,VBD
never,never,0,3,RB,NN,JJ,VBD,VB
let,let,1,4,VBD,RB,NN,VB,IN
go,go,0,5,VB,VBD,RB,IN,DT
of,of,0,6,IN,VB,VBD,DT,NN
a,a,0,7,DT,IN,VB,NN,","
question,question,0,8,NN,DT,IN,",",RB
",",",",0,9,",",NN,DT,RB,PRP
once,once,0,10,RB,",",NN,PRP,VBD
he,he,0,11,PRP,RB,",",VBD,VBN
had,have,0,12,VBD,PRP,RB,VBN,PRP
asked,ask,0,13,VBN,VBD,PRP,PRP,.
it,it,0,14,PRP,VBN,VBD,.,N/A
.,.,0,15,.,PRP,VBN,N/A,N/A
As,as,0,0,IN,N/A,N/A,IN,PRP
for,for,0,1,IN,IN,N/A,PRP,","
me,me,0,2,PRP,IN,IN,",",PRP
",",",",0,3,",",PRP,IN,PRP,VBD
I,i,0,4,PRP,",",PRP,VBD,VBN
was,be,0,5,VBD,PRP,",",VBN,IN
upset,upset,1,6,VBN,VBD,PRP,IN,DT
over,over,0,7,IN,VBN,VBD,DT,NN
that,that,0,8,DT,IN,VBN,NN,.
bolt,bolt,0,9,NN,DT,IN,.,N/A
.,.,0,10,.,NN,DT,N/A,N/A
And,and,1,0,CC,N/A,N/A,PRP,VBD
I,i,0,1,PRP,CC,N/A,VBD,IN
answered,answer,0,2,VBD,PRP,CC,IN,DT
with,with,0,3,IN,VBD,PRP,DT,JJ
the,the,0,4,DT,IN,VBD,JJ,NN
first,first,0,5,JJ,DT,IN,NN,WDT
thing,thing,0,6,NN,JJ,DT,WDT,VBD
that,that,0,7,WDT,NN,JJ,VBD,IN
came,come,0,8,VBD,WDT,NN,IN,PRP$
into,into,0,9,IN,VBD,WDT,PRP$,NN
my,my,0,10,PRP$,IN,VBD,NN,:
head,head,0,11,NN,PRP$,IN,:,``
:,:,0,12,:,NN,PRP$,``,DT
``,``,0,13,``,:,NN,DT,NNS
The,the,0,14,DT,``,:,NNS,VBP
thorns,thorn,0,15,NNS,DT,``,VBP,IN
are,be,0,16,VBP,NNS,DT,IN,DT
of,of,0,17,IN,VBP,NNS,DT,NN
no,no,0,18,DT,IN,VBP,NN,IN
use,use,0,19,NN,DT,IN,IN,DT
at,at,0,20,IN,NN,DT,DT,.
all,all,0,21,DT,IN,NN,.,N/A
.,.,0,22,.,DT,IN,N/A,N/A
Flowers,flowers,0,0,NNS,N/A,N/A,VBP,NNS
have,have,1,1,VBP,NNS,N/A,NNS,RB
thorns,thorn,0,2,NNS,VBP,NNS,RB,IN
just,just,0,3,RB,NNS,VBP,IN,NN
for,for,0,4,IN,RB,NNS,NN,.
spite,spite,0,5,NN,IN,RB,.,``
!,!,0,6,.,NN,IN,``,N/A
``,``,0,7,``,.,NN,N/A,N/A
``,``,0,0,``,N/A,N/A,UH,.
Oh,oh,1,1,UH,``,N/A,.,``
!,!,0,2,.,UH,``,``,N/A
``,``,0,3,``,.,UH,N/A,N/A
There,there,0,0,EX,N/A,N/A,VBD,DT
was,be,0,1,VBD,EX,N/A,DT,NN
a,a,0,2,DT,VBD,EX,NN,IN
moment,moment,1,3,NN,DT,VBD,IN,JJ
of,of,0,4,IN,NN,DT,JJ,NN
complete,complete,0,5,JJ,IN,NN,NN,.
silence,silence,0,6,NN,JJ,IN,.,N/A
.,.,0,7,.,NN,JJ,N/A,N/A
Then,then,0,0,RB,N/A,N/A,DT,JJ
the,the,0,1,DT,RB,N/A,JJ,NN
little,little,0,2,JJ,DT,RB,NN,VBD
prince,prince,0,3,NN,JJ,DT,VBD,RB
flashed,flash,1,4,VBD,NN,JJ,RB,IN
back,back,0,5,RB,VBD,NN,IN,PRP
at,at,0,6,IN,RB,VBD,PRP,","
me,me,0,7,PRP,IN,RB,",",IN
",",",",0,8,",",PRP,IN,IN,DT
with,with,0,9,IN,",",PRP,DT,NN
a,a,0,10,DT,IN,",",NN,IN
kind,kind,0,11,NN,DT,IN,IN,NN
of,of,0,12,IN,NN,DT,NN,:
resentfulness,resentfulness,0,13,NN,IN,NN,:,``
:,:,0,14,:,NN,IN,``,PRP
``,``,0,15,``,:,NN,PRP,VBP
I,i,0,16,PRP,``,:,VBP,RB
do,do,0,17,VBP,PRP,``,RB,VB
n't,n't,0,18,RB,VBP,PRP,VB,PRP
believe,believe,0,19,VB,RB,VBP,PRP,.
you,you,0,20,PRP,VB,RB,.,N/A
!,!,0,21,.,PRP,VB,N/A,N/A
Flowers,flowers,0,0,NNS,N/A,N/A,VBP,JJ
are,be,0,1,VBP,NNS,N/A,JJ,NNS
weak,weak,0,2,JJ,VBP,NNS,NNS,.
creatures,creature,1,3,NNS,JJ,VBP,.,N/A
.,.,0,4,.,NNS,JJ,N/A,N/A
They,they,0,0,PRP,N/A,N/A,VBP,JJ
are,be,0,1,VBP,PRP,N/A,JJ,.
naïve,naïve,0,2,JJ,VBP,PRP,.,N/A
.,.,0,3,.,JJ,VBP,N/A,N/A
They,they,0,0,PRP,N/A,N/A,VBP,PRP
reassure,reassure,1,1,VBP,PRP,N/A,PRP,IN
themselves,themselves,0,2,PRP,VBP,PRP,IN,IN
as,a,0,3,IN,PRP,VBP,IN,PRP
best,best,0,4,IN,IN,PRP,PRP,MD
they,they,0,5,PRP,IN,IN,MD,.
can,can,0,6,MD,PRP,IN,.,N/A
.,.,0,7,.,MD,PRP,N/A,N/A
They,they,0,0,PRP,N/A,N/A,VBP,IN
believe,believe,1,1,VBP,PRP,N/A,IN,PRP$
that,that,0,2,IN,VBP,PRP,PRP$,NNS
their,their,0,3,PRP$,IN,VBP,NNS,VBP
thorns,thorn,0,4,NNS,PRP$,IN,VBP,JJ
are,be,0,5,VBP,NNS,PRP$,JJ,NNS
terrible,terrible,0,6,JJ,VBP,NNS,NNS,:
weapons,weapon,0,7,NNS,JJ,VBP,:,``
...,...,0,8,:,NNS,JJ,``,N/A
``,``,0,9,``,:,NNS,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBD,RB
did,do,0,1,VBD,PRP,N/A,RB,VB
not,not,0,2,RB,VBD,PRP,VB,.
answer,answer,1,3,VB,RB,VBD,.,N/A
.,.,0,4,.,VB,RB,N/A,N/A
At,at,0,0,IN,N/A,N/A,DT,NN
that,that,0,1,DT,IN,N/A,NN,PRP
instant,instant,0,2,NN,DT,IN,PRP,VBD
I,i,0,3,PRP,NN,DT,VBD,VBG
was,be,0,4,VBD,PRP,NN,VBG,TO
saying,say,1,5,VBG,VBD,PRP,TO,VB
to,to,0,6,TO,VBG,VBD,VB,:
myself,myself,0,7,VB,TO,VBG,:,``
:,:,0,8,:,VB,TO,``,IN
``,``,0,9,``,:,VB,IN,DT
If,if,0,10,IN,``,:,DT,NN
this,this,0,11,DT,IN,``,NN,RB
bolt,bolt,0,12,NN,DT,IN,RB,MD
still,still,0,13,RB,NN,DT,MD,RB
will,will,0,14,MD,RB,NN,RB,VB
n't,n't,0,15,RB,MD,RB,VB,","
turn,turn,0,16,VB,RB,MD,",",PRP
",",",",0,17,",",VB,RB,PRP,VBP
I,i,0,18,PRP,",",VB,VBP,VBG
am,be,0,19,VBP,PRP,",",VBG,TO
going,go,0,20,VBG,VBP,PRP,TO,VB
to,to,0,21,TO,VBG,VBP,VB,PRP
knock,knock,0,22,VB,TO,VBG,PRP,RP
it,it,0,23,PRP,VB,TO,RP,IN
out,out,0,24,RP,PRP,VB,IN,DT
with,with,0,25,IN,RP,PRP,DT,NN
the,the,0,26,DT,IN,RP,NN,.
hammer,hammer,0,27,NN,DT,IN,.,``
.,.,0,28,.,NN,DT,``,N/A
``,``,0,29,``,.,NN,N/A,N/A
Again,again,0,0,VB,N/A,N/A,DT,JJ
the,the,0,1,DT,VB,N/A,JJ,NN
little,little,0,2,JJ,DT,VB,NN,VBD
prince,prince,0,3,NN,JJ,DT,VBD,PRP$
disturbed,disturbed,0,4,VBD,NN,JJ,PRP$,NNS
my,my,0,5,PRP$,VBD,NN,NNS,.
thoughts,thought,0,6,NNS,PRP$,VBD,.,N/A
.,.,0,7,.,NNS,PRP$,N/A,N/A
``,``,0,0,``,N/A,N/A,CC,PRP
And,and,1,1,CC,``,N/A,PRP,RB
you,you,0,2,PRP,CC,``,RB,VBP
actually,actually,0,3,RB,PRP,CC,VBP,IN
believe,believe,0,4,VBP,RB,PRP,IN,DT
that,that,0,5,IN,VBP,RB,DT,NNS
the,the,0,6,DT,IN,VBP,NNS,:
flowers,flower,0,7,NNS,DT,IN,:,:
-,-,0,8,:,NNS,DT,:,``
-,-,0,9,:,:,NNS,``,N/A
``,``,0,10,``,:,:,N/A,N/A
``,``,0,0,``,N/A,N/A,UH,","
Oh,oh,0,1,UH,``,N/A,",",DT
",",",",0,2,",",UH,``,DT,.
no,no,1,3,DT,",",UH,.,``
!,!,0,4,.,DT,",",``,N/A
``,``,0,5,``,.,DT,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBD,.
cried,cry,1,1,VBD,PRP,N/A,.,N/A
.,.,0,2,.,VBD,PRP,N/A,N/A
``,``,0,0,``,N/A,N/A,UH,","
No,no,1,1,UH,``,N/A,",",DT
",",",",0,2,",",UH,``,DT,DT
no,no,0,3,DT,",",UH,DT,.
no,no,0,4,DT,DT,",",.,N/A
!,!,0,5,.,DT,DT,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBP,RB
do,do,0,1,VBP,PRP,N/A,RB,VB
n't,n't,0,2,RB,VBP,PRP,VB,NN
believe,believe,1,3,VB,RB,VBP,NN,.
anything,anything,0,4,NN,VB,RB,.,N/A
.,.,0,5,.,NN,VB,N/A,N/A
I,i,0,0,PRP,N/A,N/A,VBD,PRP
answered,answer,1,1,VBD,PRP,N/A,PRP,IN
you,you,0,2,PRP,VBD,PRP,IN,DT
with,with,0,3,IN,PRP,VBD,DT,JJ
the,the,0,4,DT,IN,PRP,JJ,NN
first,first,0,5,JJ,DT,IN,NN,WDT
thing,thing,0,6,NN,JJ,DT,WDT,VBD
that,that,0,7,WDT,NN,JJ,VBD,IN
came,come,0,8,VBD,WDT,NN,IN,PRP$
into,into,0,9,IN,VBD,WDT,PRP$,NN
my,my,0,10,PRP$,IN,VBD,NN,.
head,head,0,11,NN,PRP$,IN,.,N/A
.,.,0,12,.,NN,PRP$,N/A,N/A
Do,do,0,0,VBP,N/A,N/A,RB,PRP
n't,n't,0,1,RB,VBP,N/A,PRP,VB
you,you,0,2,PRP,RB,VBP,VB,:
see,see,1,3,VB,PRP,RB,:,:
-,-,0,4,:,VB,PRP,:,PRP
-,-,0,5,:,:,VB,PRP,VBP
I,i,0,6,PRP,:,:,VBP,RB
am,be,0,7,VBP,PRP,:,RB,JJ
very,very,0,8,RB,VBP,PRP,JJ,IN
busy,busy,0,9,JJ,RB,VBP,IN,NNS
with,with,0,10,IN,JJ,RB,NNS,IN
matters,matter,0,11,NNS,IN,JJ,IN,NN
of,of,0,12,IN,NNS,IN,NN,.
consequence,consequence,0,13,NN,IN,NNS,.,``
!,!,0,14,.,NN,IN,``,N/A
``,``,0,15,``,.,NN,N/A,N/A
He,he,0,0,PRP,N/A,N/A,VBD,IN
stared,star,0,1,VBD,PRP,N/A,IN,PRP
at,at,0,2,IN,VBD,PRP,PRP,","
me,me,0,3,PRP,IN,VBD,",",NN
",",",",0,4,",",PRP,IN,NN,.
thunderstruck,thunderstruck,0,5,NN,",",PRP,.,N/A
.,.,0,6,.,NN,",",N/A,N/A
``,``,0,0,``,N/A,N/A,NNS,IN
Matters,matters,0,1,NNS,``,N/A,IN,NN
of,of,0,2,IN,NNS,``,NN,.
consequence,consequence,0,3,NN,IN,NNS,.,``
!,!,0,4,.,NN,IN,``,N/A
``,``,0,5,``,.,NN,N/A,N/A
He,he,0,0,PRP,N/A,N/A,VBD,IN
looked,look,1,1,VBD,PRP,N/A,IN,PRP
at,at,0,2,IN,VBD,PRP,PRP,EX
me,me,0,3,PRP,IN,VBD,EX,","
there,there,0,4,EX,PRP,IN,",",IN
",",",",0,5,",",EX,PRP,IN,PRP$
with,with,0,6,IN,",",EX,PRP$,NN
my,my,0,7,PRP$,IN,",",NN,IN
hammer,hammer,0,8,NN,PRP$,IN,IN,PRP$
in,in,0,9,IN,NN,PRP$,PRP$,NN
my,my,0,10,PRP$,IN,NN,NN,","
hand,hand,0,11,NN,PRP$,IN,",",PRP$
",",",",0,12,",",NN,PRP$,PRP$,NNS
my,my,0,13,PRP$,",",NN,NNS,JJ
fingers,finger,0,14,NNS,PRP$,",",JJ,IN
black,black,0,15,JJ,NNS,PRP$,IN,NN
with,with,0,16,IN,JJ,NNS,NN,:
engine,engine,0,17,NN,IN,JJ,:,NN
-,-,0,18,:,NN,IN,NN,","
grease,grease,0,19,NN,:,NN,",",VBG
",",",",0,20,",",NN,:,VBG,RP
bending,bending,0,21,VBG,",",NN,RP,IN
down,down,0,22,RP,VBG,",",IN,DT
over,over,0,23,IN,RP,VBG,DT,NN
an,an,0,24,DT,IN,RP,NN,WDT
object,object,0,25,NN,DT,IN,WDT,VBD
which,which,0,26,WDT,NN,DT,VBD,TO
seemed,seem,0,27,VBD,WDT,NN,TO,PRP
to,to,0,28,TO,VBD,WDT,PRP,RB
him,him,0,29,PRP,TO,VBD,RB,RB
extremely,extremely,0,30,RB,PRP,TO,RB,:
ugly,ugly,0,31,RB,RB,PRP,:,N/A
...,...,0,32,:,RB,RB,N/A,N/A
``,``,0,0,``,N/A,N/A,PRP,VBP
You,you,0,1,PRP,``,N/A,VBP,RB
talk,talk,1,2,VBP,PRP,``,RB,IN
just,just,0,3,RB,VBP,PRP,IN,DT
like,like,0,4,IN,RB,VBP,DT,JJ
the,the,0,5,DT,IN,RB,JJ,:
grown,grown,0,6,JJ,DT,IN,:,NN
-,-,0,7,:,JJ,DT,NN,.
ups,ups,0,8,NN,:,JJ,.,``
!,!,0,9,.,NN,:,``,N/A
``,``,0,10,``,.,NN,N/A,N/A
That,that,0,0,DT,N/A,N/A,VBD,PRP
made,make,0,1,VBD,DT,N/A,PRP,DT
me,me,0,2,PRP,VBD,DT,DT,JJ
a,a,0,3,DT,PRP,VBD,JJ,JJ
little,little,0,4,JJ,DT,PRP,JJ,.
ashamed,ashamed,0,5,JJ,JJ,DT,.,N/A
.,.,0,6,.,JJ,JJ,N/A,N/A
But,but,0,0,CC,N/A,N/A,PRP,VBD
he,he,0,1,PRP,CC,N/A,VBD,IN
went,go,0,2,VBD,PRP,CC,IN,","
on,on,0,3,IN,VBD,PRP,",",RB
",",",",0,4,",",IN,VBD,RB,:
relentlessly,relentlessly,0,5,RB,",",IN,:,``
:,:,0,6,:,RB,",",``,PRP
``,``,0,7,``,:,RB,PRP,VBP
You,you,0,8,PRP,``,:,VBP,NN
mix,mix,0,9,VBP,PRP,``,NN,RP
everything,everything,0,10,NN,VBP,PRP,RP,RB
up,up,0,11,RP,NN,VBP,RB,:
together,together,0,12,RB,RP,NN,:,N/A
...,...,0,13,:,RB,RP,N/A,N/A
You,you,0,0,PRP,N/A,N/A,VBP,NN
confuse,confuse,1,1,VBP,PRP,N/A,NN,:
everything,everything,0,2,NN,VBP,PRP,:,``
...,...,0,3,:,NN,VBP,``,N/A
``,``,0,4,``,:,NN,N/A,N/A
He,he,0,0,PRP,N/A,N/A,VBD,RB
was,be,0,1,VBD,PRP,N/A,RB,RB
really,really,0,2,RB,VBD,PRP,RB,JJ
very,very,0,3,RB,RB,VBD,JJ,.
angry,angry,1,4,JJ,RB,RB,.,N/A
.,.,0,5,.,JJ,RB,N/A,N/A
He,he,0,0,PRP,N/A,N/A,VBD,PRP$
tossed,toss,1,1,VBD,PRP,N/A,PRP$,JJ
his,his,0,2,PRP$,VBD,PRP,JJ,NN
golden,golden,0,3,JJ,PRP$,VBD,NN,IN
curls,curl,0,4,NN,JJ,PRP$,IN,DT
in,in,0,5,IN,NN,JJ,DT,NN
the,the,0,6,DT,IN,NN,NN,.
breeze,breeze,0,7,NN,DT,IN,.,N/A
.,.,0,8,.,NN,DT,N/A,N/A
``,``,0,0,``,N/A,N/A,PRP,VBP
I,i,0,1,PRP,``,N/A,VBP,DT
know,know,1,2,VBP,PRP,``,DT,NN
a,a,0,3,DT,VBP,PRP,NN,WRB
planet,planet,0,4,NN,DT,VBP,WRB,EX
where,where,0,5,WRB,NN,DT,EX,VBZ
there,there,0,6,EX,WRB,NN,VBZ,DT
is,be,0,7,VBZ,EX,WRB,DT,JJ
a,a,0,8,DT,VBZ,EX,JJ,JJ
certain,certain,0,9,JJ,DT,VBZ,JJ,:
red,red,0,10,JJ,JJ,DT,:,VBN
-,-,0,11,:,JJ,JJ,VBN,NN
faced,face,0,12,VBN,:,JJ,NN,.
gentleman,gentleman,0,13,NN,VBN,:,.,N/A
.,.,0,14,.,NN,VBN,N/A,N/A
He,he,0,0,PRP,N/A,N/A,VBZ,RB
has,have,0,1,VBZ,PRP,N/A,RB,VBN
never,never,0,2,RB,VBZ,PRP,VBN,DT
smelled,smell,1,3,VBN,RB,VBZ,DT,NN
a,a,0,4,DT,VBN,RB,NN,.
flower,flower,0,5,NN,DT,VBN,.,N/A
.,.,0,6,.,NN,DT,N/A,N/A
He,he,0,0,PRP,N/A,N/A,VBZ,RB
has,have,0,1,VBZ,PRP,N/A,RB,VBN
never,never,0,2,RB,VBZ,PRP,VBN,IN
